scale	roiS	series_name	nr_in_chamber	nr_class	name	file_id	histogram_cv	histogram_energy	histogram_entropy	histogram_kurtosis	histogram_mean	histogram_median	histogram_skewness	histogram_variance	cluster_prominence	cluster_shade	correlation	diagonal_moment	difference_energy	difference_entropy	energy	entropy	inertia	inverse_different_moment	kappa	maximum_probability	sum_energy	sum_entropy	sum_variance	created_at	error	algorithm	assignment_id.1	series	chamber	day_date	start_pipetting	pipetting_duration	doorclose_duration	reset_duration	p_norm_id	p_colour_id	parameter_id.1	colour_r	colour_g	colour_b	colour_routine	colour_type	norm_a	norm_b	norm_scale	norm_type	roi_inner	roi_outer	roi_angle_start	roi_angle_end	roi_type	roi_section	assessment	assignment_id.2	nr_class.1	name.1	series.1	nr_chamber_solution	nr_basic_solution	nr_substance	last_solution	evaporation_duration_in_hour_minute	evaporation_duration_in_sec	evaporation_duration	crystal_duration	replikats	cucl2_in_mg	substance_in_mg	specs_group	specs_supplier	substance_group	sample	supplier	it8check	max_error	mean_error	center	x	y	center_x	center_y	assignment_id.3	nr_class.2	class_desc	parameter_id	assignment_id
1	0-100	EI	1	49	P.2017.01.23.EI-01-2017.01.25_11_28.cut.tif	1642311	0.3107	0.007074	5.097284	-0.135624	127.580556	128	0.009737	1571.272078	96785022.498758	-18952.687597	0.807203	120.414816	0.025034	3.920393	9.2e-05	9.609079	604.190149	0.065511	0.015123	0.000237	0.003779	5.737495	5663.425884	Wed Apr 10 08:32:48.858758 2024	0	TEX	19644	148714	P	2017.01.23	2017.01.23_15:05:00	900	68700	0	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19644	49	P.2017.01.23.EI-01-2017.01.25_11_28.cut.tif	148714	1	2	2	0	421:31	1517460	47100	NA	7	128	300	Cress A4 potA	Bingenheim / cress	Cress A4 potA	cress	Bingenheim	NA	12.74	1.91	1	4.7752	7.04426666667	NA	NA	19644	49	Cress A4 potA	5	19644
1	0-100	EI	2	50	P.2017.01.23.EI-02-2017.01.25_11_28.cut.tif	1642312	0.311299	0.007067	5.099832	-0.109484	127.655168	128	0.013416	1579.186188	100681851.707356	-7931.746521	0.838992	44.842385	0.027248	3.832909	9.9e-05	9.522326	505.301713	0.073386	0.018309	0.000249	0.003745	5.74678	5771.434015	Wed Apr 10 08:32:49.946951 2024	0	TEX	19644	148714	P	2017.01.23	2017.01.23_15:05:00	900	68700	0	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19644	50	P.2017.01.23.EI-02-2017.01.25_11_28.cut.tif	148714	2	3	3	0	446:31	1607460	41700	NA	7	128	300	Cress A4 potB	Bingenheim / cress	Cress A4 potB	cress	Bingenheim	NA	12.74	1.91	1	4.74133333333	4.826	NA	NA	19644	50	Cress A4 potB	5	19644
1	0-100	EI	3	51	P.2017.01.23.EI-03-2017.01.25_11_28.cut.tif	1642313	0.311349	0.007072	5.098286	-0.12077	127.422534	127	-0.003506	1573.937348	98383858.27729	-12668.572612	0.829944	81.517428	0.026263	3.862176	9.6e-05	9.55774	533.2039	0.068721	0.016353	0.000237	0.003744	5.743991	5737.723357	Wed Apr 10 08:32:49.816768 2024	0	TEX	19644	148714	P	2017.01.23	2017.01.23_15:05:00	900	68700	0	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19644	51	P.2017.01.23.EI-03-2017.01.25_11_28.cut.tif	148714	3	4	4	0	445:21	1603260	41100	NA	7	128	300	Cress A4 potC	Bingenheim / cress	Cress A4 potC	cress	Bingenheim	NA	12.74	1.91	1	4.45346666667	6.1468	NA	NA	19644	51	Cress A4 potC	5	19644
1	0-100	EI	4	52	P.2017.01.23.EI-04-2017.01.25_11_28.cut.tif	1642314	0.311268	0.00707	5.098777	-0.121834	127.531414	128	-0.000631	1575.806206	98399530.232647	-16569.771534	0.81726	90.279132	0.025408	3.897544	9.3e-05	9.591188	573.510677	0.06597	0.015331	0.000221	0.003761	5.741498	5703.280663	Wed Apr 10 08:32:50.822528 2024	0	TEX	19644	148714	P	2017.01.23	2017.01.23_15:05:00	900	68700	0	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19644	52	P.2017.01.23.EI-04-2017.01.25_11_28.cut.tif	148714	4	5	5	0	445:51	1605060	50100	NA	7	128	300	Cress A4 potD	Bingenheim / cress	Cress A4 potD	cress	Bingenheim	NA	12.74	1.91	1	4.75826666667	6.82413333333	NA	NA	19644	52	Cress A4 potD	5	19644
1	0-100	EI	5	53	P.2017.01.23.EI-05-2017.01.25_11_35.cut.tif	1642315	0.310589	0.007074	5.097496	-0.129792	127.642487	128	0.01372	1571.678553	98266257.275075	-19756.673467	0.831031	142.121485	0.026776	3.854379	9.8e-05	9.539533	529.563758	0.071465	0.017517	0.000245	0.003744	5.743922	5738.612999	Wed Apr 10 08:32:53.716781 2024	0	TEX	19644	148714	P	2017.01.23	2017.01.23_15:05:00	900	68700	0	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19644	53	P.2017.01.23.EI-05-2017.01.25_11_35.cut.tif	148714	5	6	6	0	448:21	1614060	44100	NA	7	128	300	Cress A4 potE	Bingenheim / cress	Cress A4 potE	cress	Bingenheim	NA	13.03	1.93	2	4.50426666667	5.82506666667	6.33306666667	3.58986666667	19644	53	Cress A4 potE	5	19644
1	0-100	EI	6	54	P.2017.01.23.EI-06-2017.01.25_11_32.cut.tif	1642316	0.311274	0.007071	5.098907	-0.113521	127.541184	128	0.004126	1576.111058	95815143.726298	-13900.363408	0.803171	62.607307	0.02453	3.933458	9.1e-05	9.625278	616.952489	0.063197	0.014352	0.000221	0.00376	5.736307	5651.954015	Wed Apr 10 08:32:51.824927 2024	0	TEX	19644	148714	P	2017.01.23	2017.01.23_15:05:00	900	68700	0	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19644	54	P.2017.01.23.EI-06-2017.01.25_11_32.cut.tif	148714	6	7	7	0	447:21	1610460	56700	NA	7	128	300	Cress A4 potF	Bingenheim / cress	Cress A4 potF	cress	Bingenheim	NA	12.98	1.94	1	4.318	7.12893333333	NA	NA	19644	54	Cress A4 potF	5	19644
1	0-100	EI	7	49	P.2017.01.23.EI-07-2017.01.25_11_32.cut.tif	1642317	0.311663	0.007067	5.100221	-0.103501	127.553426	128	0.006875	1580.35908	98862891.171847	-15548.075133	0.823503	79.437263	0.026334	3.874963	9.6e-05	9.563358	553.6074	0.070191	0.016896	0.00023	0.003765	5.74223	5719.672707	Wed Apr 10 08:32:53.39925 2024	0	TEX	19644	148714	P	2017.01.23	2017.01.23_15:05:00	900	68700	0	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19644	49	P.2017.01.23.EI-07-2017.01.25_11_32.cut.tif	148714	1	2	2	0	448:1	1612860	43500	NA	7	128	300	Cress A4 potA	Bingenheim / cress	Cress A4 potA	cress	Bingenheim	NA	12.98	1.94	1	4.65666666667	6.02826666667	NA	NA	19644	49	Cress A4 potA	5	19644
1	0-100	EI	8	50	P.2017.01.23.EI-08-2017.01.25_11_32.cut.tif	1642318	0.311679	0.007067	5.100293	-0.099922	127.568428	128	0.010567	1580.890719	100181391.583917	-2217.61274	0.837761	-13.827077	0.027276	3.83545	9.9e-05	9.524472	508.897274	0.075336	0.019142	0.000228	0.003748	5.746315	5764.535141	Wed Apr 10 08:32:53.278264 2024	0	TEX	19644	148714	P	2017.01.23	2017.01.23_15:05:00	900	68700	0	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19644	50	P.2017.01.23.EI-08-2017.01.25_11_32.cut.tif	148714	2	3	3	0	448:51	1615860	46500	NA	7	128	300	Cress A4 potB	Bingenheim / cress	Cress A4 potB	cress	Bingenheim	NA	12.98	1.94	1	4.84293333333	5.9436	NA	NA	19644	50	Cress A4 potB	5	19644
1	0-100	EI	9	51	P.2017.01.23.EI-09-2017.01.25_11_40.cut.tif	1642319	0.311111	0.007072	5.098501	-0.119478	127.547782	128	0.003487	1574.62682	93618078.601313	-19520.617275	0.787697	113.882196	0.023352	3.974333	8.8e-05	9.672902	666.693697	0.059491	0.012979	0.000223	0.003773	5.733849	5613.893945	Wed Apr 10 08:32:57.274691 2024	0	TEX	19644	148714	P	2017.01.23	2017.01.23_15:05:00	900	68700	0	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19644	51	P.2017.01.23.EI-09-2017.01.25_11_40.cut.tif	148714	3	4	4	0	449:1	1616460	51300	NA	7	128	300	Cress A4 potC	Bingenheim / cress	Cress A4 potC	cress	Bingenheim	NA	12.76	1.88	2	4.70746666667	7.80626666667	6.67173333333	2.65853333333	19644	51	Cress A4 potC	5	19644
1	0-100	EI	10	52	P.2017.01.23.EI-10-2017.01.25_11_40.cut.tif	1642320	0.311734	0.007062	5.100604	-0.109431	127.569891	128	0.005725	1581.481173	99043267.442452	-11540.076073	0.83155	56.596687	0.026558	3.856688	9.7e-05	9.551971	528.989541	0.069494	0.016581	0.00023	0.003747	5.744984	5751.69545	Wed Apr 10 08:32:55.907007 2024	0	TEX	19644	148714	P	2017.01.23	2017.01.23_15:05:00	900	68700	0	1	1	5	33	33	33	tiff2bw	equal	4	4	NA	gaussian	0	1	0	360	CircleCircle	0	NA	19644	52	P.2017.01.23.EI-10-2017.01.25_11_40.cut.tif	148714	4	5	5	0	445:21	1603260	39900	NA	7	128	300	Cress A4 potD	Bingenheim / cress	Cress A4 potD	cress	Bingenheim	NA	12.76	1.88	1	4.45346666667	6.51933333333	NA	NA	19644	52	Cress A4 potD	5	19644
